Ausschreibungsplattform;Bid invitation platform;
Typ;Type;
neu;New;
Auswahl Dienstleisterlagerort für Materialabrechnung;Selection of service provider stock location for material settlement;
Kenz. Enderfassung;Indicate final entry;
Langtext des Leistungsaufmasses;Long text, service measurement;
Materialabrechnung Drucken;Print material settlement;
Abw. Wert zu LA;Different value to service measurement;
Zeile;Item Line;
Technische Druckansicht;Technical print view;
Verfallsdatum Charge;Expiration date, batch;
akt. Anz. / max. Anz. Abrechnungen;Active payment / Max. payment settlements;
Sichern;Save;
Mat.-Aufmaßnnr.;Material measurement no.;
Menge am zentralen Lagerort;Quantity at central stock location;
Materialaufmaße zur Bestellung;Material measurements for the order;
ext. Nummer;External number;
Menge;Quantity;
Lösche Position;Delete item;
DL-LO;Service provider stock location;
Werk;Plant;
Der von Ihnen eingegebene Text kann nicht in ein Datum umgewandelt werden. Bitte überprüfen Sie die Eingabe.;The text entered cannot be converted to a date. Please check the entry.;
Status "offen";Open status;
Keine Nullzeilen;No zero lines;
Aufmaßnr.;;
Ausschreibung absagen;Reject bid invitation;
Priorität;Priority;
Materialselektion;Material selection;
Beschreibungstext des Kontierungselementes
angenommen;Accepted;
Dienstleister:;Service Provider;
Submissionsnummer;Submission number;
Name einer Einkäufergruppe;Purchasing group name;
v;v;
Art;Type;
EON_BPEXD_PORG
Sind Sie sicher, dass Sie ein Nullblatt erzeugen wollen? \r\nDanach kann kein weiteres Leistungsaufmaß für diese Bestellposition mehr angelegt werden.;Are you sure you want to create a zero sheet? \r n No further activity measurements can then be created for this order item.;
ServiceLine: 0800 - 10 333 01;ServiceLine: 0800 - 10 333 01;
Zum Beleg;To the document;
Sie haben keine Berechtigung auf die Anwendung zuzugreifen. Bitte verständigen Sie Ihren Administrator;You are not allowed to use the application. Please contact your administrator.;
Mitteilungen ({0});Messages ({0});
Aufmassnr.;Measurement no.;
LA-Beleg;;
Ausschreibungen;Bid invitations;
Tel. Nr.;Phone no.;
Position einer Beauftragung (Bestellung);Assignment (order) item;
Best.Nr.;Order no.;
EON Rot;EON red;
Dokument herunterladen;Download document;
Abgeruf. Menge;Released quantity;
Name der Einkäufergruppe;Name of the purchasing group;
MA-Status;Material measurement status;
Ausschreibung Bearbeiten;Process bid invitation;
Reserviert;Reserved;
Abnahmedatum;Acceptance date;
Ablehnung;Refusal;
Übersicht;Overview;
Materialnummer;Material number;
Datum;Date;
Anlieferungsadresse;Delivery address;
Bestellungen drucken;Print orders;
ServiceLine der E.ON IS;E. ON IS ServiceLine;
Sammelauswahl;Collective selection;
Dateiname;File name;
Preise immer mit 2 NK-Stellen anzeigen;Always display prices to 2 decimal points;
Lieferantendetails;Vendor details;
Kurztext in der Materialanforderung auf DLLO;Short text in the material requisition at service provider stock location;
Telefax;Fax;
Zur Aufmaßerfassung;Service measurement maintenance;
Leistungszeile;ENLeistungsz1;
vorläufige Menge;Provisional quantity;
Ausschreibungen anzeigen;Display bid invitations;
Neue Suche;New search;
(gesperrt);(blocked);
Materialanforderungsnr.;Material requisition number;
E.ON @ future;E.ON @ future;
Nehmen Sie hier Einstellungen vor, die für die gesamte Anwendung gültig sind.;Perform settings that are valid for the entire application.;
Zum Aktionsportal;To the activities portal;
Mat.-Aufmaß Kurztext;Short text of material measurement;
Im Leistungsaufmaß kann eine Kontierung vorgenommen werden
Aufmaßart;Measurement type;
Ausschreibung anzeigen;Display bid invitation;
Zur Materialanforderung auf DL LO;To the material requisition at the service provider stock location;
Lieferantennummer;Vendor number;
Anforderungsübersicht;Requirements overview;
Mengeneinheit;Quantity unit;
"Anforderung";Request;
Leistungsnummer;Service number;
Lagerortauswahl Materialanforderung;Selection of stock location, material requisition;
beschreibender Text der hochzuladenden Datei;Descriptive text of the uploaded file;
Materialaufmaß mit Pl;Material measurement with PI;
Gesamtmenge;Total quantity;
Posnr;Item no.;
Es erfolgt die Anzeige von durch den DL abgelehnten bzw. bestätigten Bestellungen;The display of accepted or refused orders by the service provider will follow;
Bestellannahme;Order acceptance;
Für die Bestellposition ({0}, {1}) sind keine Planleistungen vorhanden.;No planned service for order item ({0}, {1});
Angebotsnummer;Quotation number;
Straße;Street;
Angebot;Offer;
Benutzer;User;
verf. Menge;Available quantity;
Aufmaßdetails;Measurement details;
Einkaufsgruppe;Purchasing group;
gesicherte Menge;Saved quantity;
Eindeutige ID einer Firma des Gesellschaftsmodells;Unique company ID of the consolidation model;
Dokumente des Auftraggebers;Documents of the ordering party;
Haupt-Menü;Main menu;
in Abnahme;Acceptance;
Berichtswesen;Reporting;
Status existiert nicht für die Materialrückbuchung;The status does not exist for the material posting to a prior period;
Bestellungsansicht;Order view;
Definiert einen kurzen, beschreibenden Text des Leistungsaufmasses;Defines a short, descriptive text of the service measurement;
Zeitraum;;
Kurztext;Short text;
Erneutes Lesen der Komponentensteuerung aus dem Backend-System.;Reload components control from backend.;
Belegnummer;Document number;
Beim Anlegen neuer Leistungsaufmaßpositionen ist ein Fehler aufgetreten.\r\nBitte informieren Sie den Administrator;An error occurred while creating new service measurement items. \ Please inform the key user;
EON_BPEXD_SP
ausführlicher Text;Detailed text;
EON_BPEXD_CONF
Ausschreibung Downloaden;Download bid invitation;
Anzahl neuer Positionen in Leistungs- und Materialaufmass;Number of new items in service and material measurement;
Priorität einer Mitteilung;Message priority;
Ch. pflicht;Batch management requirement;
Inhalt;Content;
Materialanforderungen suchen;Search material requisitions;
Einstellungen;Settings;
BestellMenge;Order quantity;
Bestandsübersicht Suchen;Search for stock overview;
Position;ENPositi1;
Materialanforderung suchen;Search material requisition;
PLZ;Postal code;
Abgeschlossen;Completed;
Stammdaten DL;Service provider master data;
Icon;Icon;
Element, auf das das Leistungsaufmass kontiert wird, z.B. ein Instandhaltungsauftrag
Andere Bestellung auswählen;Select another order;
Bitte geben Sie eine Leistungsaufmaßnummer ein.;Please enter an service measurement number.;
Weitere Positionen;Other items;
Löschkz.;Deletion flag;
WA-Belegnr.;Goods issue document number;
Aufmaß Details;Measurement details;
Tech. Verantwortlicher;Person responsible for technical problems;
Firmendaten neu laden;Reload company data;
MA-Nr.;Material number;
Auftrag bestätigen;Confirm order;
Freigegeben;Released;
Abrufe gegen Kontrakte;Call off orders issued against contracts;
Bestellungen anzeigen;Display orders;
Leistungsaufmaß Nr.;Service measurement nr.;
DL-LO Bez.;Description, service provider stock location;
ME;Quantity unit;
(Dieser Dialog musste aus technischen Gründen angezeigt werden.);(This dialog had to be displayed for technical reasons.);
Protokollerfassung zum PM-Auftrag;Record entry for PM order;
Allgemeine Daten;General data;
Anwendungskomponente ist nicht freigegeben.;Application component not released.;
Neues Aufmass anlegen;Create new measurement;
-->;-->;
Suche starten;Start search;
gesichert;Saved;
Aufmaß Nr.;Measurement number;
Ausschreibungsübersicht;Bid invitation overview;
Mg.Einh.;Quantity unit;
Charge;Batch;
Nr. Gutschrift;;
E-Mail;E-mail;
Zum Berichtswesen;To the reporting;
Nr. Extern;;
Gesamtaufmaß;Total measurement;
Preis;Price;
Offene Lieferungen drucken;Print open deliveries;
Freigabedatum;Release date;
Abrufe;Call off orders;
Falls Sie Probleme mit der Anwendung haben, setzen Sie sich bitte mit unserer ServiceLine in Verbindung.;If you have any problems with the application, please contact our ServiceLine.;
Aktionsportal;Activites portal;
Interner Fehler: Plug {0} nicht gefunden.;Internal error: Plug {0} not found.;
LA-Wert;;
Sie haben über den URL Parameter "authtoken" eingestellt, dass Sie die R3-Zugangsdaten explizit definieren möchten. Dieser Dialog gibt Ihnen hierzu Gelegenheit;"You have indicated via the ""authtoken"" URL parameter that you would like to define the R/3 access data explicitly. This dialog provides you with this opportunity";
Materialanforderungen anzeigen;Display material requisitions;
gültig bis;Valid to;
Zu / Abschlag Abgebot %;ENZu / Abschlag Abgebo1;
Ausschreibung;Bid invitation;
Auftragsbestätigungen anzeigen;Display order confirmations;
Bitte wählen Sie Werk und Lagerort für die Materialanforderung aus;Please select the plant and stock location for  the material requisition;
Details anzeigen;Display details;
Auftragsbestätigungen suchen;Find order confirmations;
Werk- und Lagerortauswahl;Plant and storage selection;
Bei der Ermittlung der Gesellschaftsdaten ist ein Fehler aufgetreten. Der Dienstleister Kurztext kann nicht angezeigt werden.;An error has occurred while determining the company data. The service provider short text is not able to be displayed.;
Kommunikationsplattform;Communication platform;
Absagen;Reject;
Kontrakt / Muster-LV;Contract / Service specification model;
Einkäufergr.;Purchasing group;
Aufgrund eines Timeout Problems wurde eine neue Session Bean erzeugt und anschließend versucht die Operation erneut auszuführen. Es wurde jedoch keine auszuführende Methode definiert.;Due to a timeout problem, a new session bean has been created and has attempted to re-execute the operation. However, no method to be executed was defined.;
Leistungsaufmassdetails anzeigen;Display service measurement details;
Einkäufer;Buyer;
Menge zentr. LO;Quantity, central stock location;
Werksnummer;Plant number;
Bestellung;Order;
Erfa. Datum;;
Preis je ME;Price per quantity unit;
Nummer;Number;
Werke / Lagerorte;Plants / Stock locations;
Aufmaß Direkterfassung;Direct measurement entry;
Frei verwendbarer Bestand;Unrestricted-use inventory;
Abn. Datum;;
Ok;Ok;
Anforderung pflegen;Maintain request;
Reservierungendetails;Reservations details;
Übersicht Auftragsbestätigung;Order confirmation overview;
Weiter;Continue;
Mat.-Rückgabe;Material return;
EON_BPEXD_USER
Nein;No;
Der Status existiert in der Materialrücklieferung nicht;The status does not exist in material return delivery;
EON_BPEXD_SPCPORG
Werknr.;Plant no.;
Anfrageart;Request type;
Anfragenummer;Request number;
Alle Bestellungen für den Druck aktivieren;Activate all orders for printing;
Positionsdetails;Item details;
Bestellnummer;PO number;
Nr. eines Leistungsaufmasses;service measurement number;
Liest die aktuellen Daten neu ein und aktualisiert daraufhin die Anzeige;Reload current data and refresh view;
Bu.dat Gutschrift;;
Allgemeiner Mengentyp;General quantity type;
Submission;Submission;
Firma: {0}, EKOrg: {1}, Dienstleister: {2}, SID: {3}, Mandant: {4};Company: {0}, Purchasing organization: {1}, Service provider: {2}, SID: {3}, Client: {4};
Gültig bis;Valid to;
Andere Materialanforderung auswählen;Select other material requisition;
Suchen;Search;
Leistungsaufmaßnummer suchen;Search for service measurement number;
Erfassungsblatt;;
Belegdatum;Document date;
Mat.-Endaufmaß;Final material measurement;
Beschreibung;Description;
Bitte wählen Sie einen Zentrallagerort aus;Please select a central stock location;
Die ID des angemeldeten Benutzers konnte nicht ermittelt werden.;The ID of the logged-in user could not be determined.;
Beim Versuch die Methode {0} aus dem Hauptmenü aufzurufen, ist ein Fehler aufgetreten. Sollte der Fehler wiederholt auftreten, verständigen Sie bitte den Support.;An error has occurred while attempting to call up the method {0} from the main menu. If the error occurs again, please contact support.;
Angebot bearbeiten;Process offer;
Reservierung;Reservation;
Bitte liefern Sie an folgende Adresse;Please deliver to the following address;
akt. Anz. / max. Anz. Rücklieferungen;Current number / max. number of return deliveries;
Bitte wählen Sie zunächst ein Dokument aus.;Please select a document first;
Lagerort;Stock location;
Menge der Materialanforderungsposition;Quantity of the material requisition item;
Abgebot;Offer;
Standard;Standard;
Abladestelle oder abweichende Lieferanschrift;Unloading point or differing delivery address;
Kontierungsbeschreibung
Zur Bestellannahme;To the order acceptance;
Materialrücklieferung;Material return delivery;
Buchungsdatum Gutschr.;Credit posting date;
Einkaufsbeleg;;
Bitte geben Sie zunächst alle Leistungsaufmaße frei, bevor Sie einen neuen Beleg anlegen.;Please release all service measurements before creating a new document.;
Warenempfänger;Goods recipient;
verfügbare Menge;Available quantity;
Wählen Sie einen Absagegrund aus;Please select a reason for rejection;
40 Zeichen Langtext;Long text, 40 characters;
Neuen Beleg anlegen;Create new document;
Beauftragungsübersicht aus dem Extranet Dienstleister;;
Sammelauswahl Materialien;Collective materials selection;
Lieferdatum;Delivery date;
Zur Ausschreibungsplattform;To the bid invitation platform;
Materialendaufmaßkennzeichen setzen;Set final material measurement flag;
Währung;Currency;
EK-Org.;Purchasing organization;
abgesagt;Rejected;
Reservierungsdetails;Reservation details;
Reservierungsnummer;Reservation number;
Bedarfstermin;Date required;
Betreff;Subject;
Eindeutige ID eines Service Providers (Dienstleisters);Unique service provider ID;
Alle markieren;Select all;
Sie haben Änderungen an der Ausschreibung vorgenommen. Wollen Sie diese verwerfen?;You have made changes to the bid invitation. Do you want to discard them?;
Ja;Yes;
EK-Gruppe;Purchasing group;
KA1;Customer order 1;
Anz. sichtb. Zeilen;Display visible lines;
EON_BPEXD_COMPPORG
KA2;Customer order 2;
Positionen;Items;
Firmennr.;Company no.;
Absprünge;Branches;
Anforderer;Requisitioner;
Freigeben;Release;
Dateibeschreibung;File description;
Bestellnr.;Order no.;
Materialkatalog;Material catalog;
PDF;PDF;
Meldung;Message;
Auswahl Dienstleisterlagerort für Materialrückbuchung;Selection of service provider stock location for material posting to a prior period;
Offene Lieferungen suchen;Search for open deliveries;
Warenausgangdetails;Goods issue details;
Materialanforderung auf DLLO Drucken;Print material requisition at service provider stock location.;
externer Sachbearbeiter;External administrator;
Abweichende Lieferanschrift;Differing delivery address;
Bestätigung sichern;Save confirmation;
offen;Open;
Reservierungsnr.;Reservation number;
Einkausorganisation;Purchasing organization;
Texte des AG;AG text;
Wollen sie die Ausschreibung wirklich absagen?;Do you really want to cancel the bid invitation?;
Die aktuelle Leistungsposition ist leer. Bitte geben sie eine Leistungsnummer und Menge ein.;The current service item is empty. Please enter a service number and quantity.;
LE;Service entry;
Bestellwert;Order value;
Bearbeitungsstatus;Processing status;
Gesamtnettowert;Total net value;
Telefon 1;Telephone 1;
Fehler bei der Zuordnung von Werk und Lagerort. Sind Werke und Lagerorte für den Dienstleister definiert?;Error in the assignment of plant and stock location. Are plants and stock locations defined for the service provider?;
Offen;Open;
Mehrfachselektion von Materialien;Multiple selection of materials;
Gesamtbestellwert;;
Aufmasse;Measurements;
Pos. Nr.;Item no.;
Leistungsaufmaß;Service measurement;
Gepl. Menge;Planned quantity;
Angebotsnr.;ENAngebots.1;
Währ.;Currency;
Gesamtwert (Netto);Total value (net);
Nr. Freistellungsbescheinigung;Release certificate exemption Nr.;
Whrg;Currency;
Leistungsaufmaße;Service measurements;
Bestellposition;Order item;
Abbrechen;Cancel;
Materialaufmaß zur Bestellung Suchen;Search for material measurement for order;
Es muss mindestens eine Bestellung ausgewählt werden.;At least one order must be selected.;
Herunterladen;Download;
Anz. neuer Positionen;Number of new items;
Positionswert;ENPositionsw1;
Mat.-nr;Material no.;
Stand Materiallieferung anzeigen;Display status of material delivery;
Chargennummer;Batch number;
Liste offener Lieferungen anzeigen;Display list of open deliveries;
bestellt;Ordered;
Materialaufmaß zur Bestellung drucken;Print material measurement for the order;
Externe Bearbeitungsnummer des Leistungsaufmasses;External service measurement processing number;
Materialanforderung auf DL-LO;Material requisition to service provider stock location;
Buchungsdatum;Posting date;
Wert LE-Blatt;Value of service entry sheet;
Nachricht;Message;
Bestellmenge;Order quantity;
Gülitg bis;Valid to;
Suche;Search;
Angebotsart;Offer type;
Das PDF-Dokument kann nicht angezeigt werden.;The PDF document cannot be displayed.;
Die Bestellnr. {0} wurde nicht gefunden.;Order no. {0} was not found.;
Nullblatt;Zero sheet;
Fehler beim Aufruf der Methode {0} des Component Controllers. Details: {1}. Weitere Details entnehmen Sie den Logdateien.;Error when calling up the component controller method {0}. Details: {1}. See log files for further details.;
Wert pro Mengeneinheit;Value per quantity unit;
Offene Lieferungen;Open deliveries;
Materialabrechnung drucken;Print material settlement;
Bew. erlaubt;Transaction allowed;
Benutzerkennung;User ID;
E.ON @ Future Beschaffungsprozess Netzbauleistung Extranet Dienstleister;E. ON @ Future procurement process extranet network construction service provider;
Rücklieferung;Return delivery;
Herrunterladen;Download;
Für das chargenpflichtige Material {0} wurde keine Charge definiert.;No batch was defined for the material to be handled in batches {0}.;
Status "abgeschlossen";Completed status;
Materialaufmaß zur Bestellung anzeigen;Display material measurement for order;
akt. Anz. / max. Anz. Rückbuchungen;Current number / max. number of postings to a prior period;
Es gibt keine ausgewählte aktuelle Materialanforderung, deren Daten gelesen werden könnten.;There is no selected current material requisition whose data could be read.;
Bitte geben Sie eine Reservierungsnummer ein.;Please enter a reservation number.;
Meldungen;Messages;
Es erfolgt die Anzeige von durch den DL angenommenen bzw. abgelehnten Anfragen;The display of accepted or refused requests by the service provider will follow;
hoch;High;
Charge in Abrechnung oder Anforderung verwendet;Batch used in settlement or request;
Materialanforderungsübersicht;Material requisition overview;
Bitte klicken Sie auf folgenden Link, um die Datei auf Ihren Computer herunterzuladen;Please click on the following link to download the file on your computer;
Der Status existiert in der Materialabrechnung nicht;The status does not exist in material settlement;
Unternehmen;Company;
Anlieferadresse;Delivery address;
Sie haben die Möglichkeit für die unten aufgeführten Regionalen Versorgungsunternehmen (ReVU) Daten zu erfassen.;You may enter data for the below-listed Regional Utilities (RU).;
(gelöscht);(deleted);
Anfragetyp;Request type;
Liste der Ausschreibungen;List of bid invitations;
Werksbez.;Plant description;
Hochladen;Upload;
Bestellung bearbeiten;Process order;
Anrede;Form of address;
Leistungsort;;
Eindeutige Nr. einer Bestellung;Unique order no.;
Suche Materialaufmaß zur Bestellung;Search for material measurement for order;
Mehrfachselektion von Leistungen;Multiple selection of services;
Leistungsaufmassnr.;service measurement nr.;
Wert Gutschr.;Credit value;
Lagerorttext;Text, stock location;
Anzeige von Leistungsaufmaßen und Gutschriften zu Bestellungen, welche selektiert werden können;Display of service measurements and credit notes for purch. orders - able to be selected;
Benutzername;Username;
Dokumentenstruktur des R/3 DMS;R/3 DMS document structure;
Komponentensteuerung lesen;Read components control;
Materialrückgaben;Material returns;
Beenden;End;
Aufmaß Status;Measurement status;
Aufmass Kennzeichen;Measurement flag;
MEAKZ setzen;Set material end measurement flags;
Neue Position;New item;
erledigt;Closed;
Muster-LV;Service specification model;
LE-Blatt;Service entry sheet;
Reservierungsdaten bearbeiten / anzeigen;Process/Display reservation data;
Belegart;Document type;
Leistungsaufmaß kann nicht gelesen werden. Die Pos. enthält keine Leistungsaufmaße.;Service measurement cannot be read. The item contains no activity measurements.;
Anfrage;Inquiry;
Planleistungen abrufen;Call planned services;
Erfassung;Entry;
Einkäuferorganisation;Purchasing organization;
Mat.-bezeichnung;Material description;
Wollen Sie alle noch offenen Planleistungen jetzt tatsächlich abrufen?;Do you really want to call off all outstanding planned services?;
Vorname;First name;
gering;Low;
Nachname;Last name;
Menge am Dienstleister Lagerort;Quantity at service provider stock location;
Bestellung Suchen;Search for order;
Die Angebotsnr. {0} wurde nicht gefunden.;Quotation number {0} was not found.;
Basisdatum;Baseline date;
Zum Dokument;To the document;
Bestelllnummer;PO number;
Materialendaufmaßkennzeichen ist gesetzt;Material end measurement flag is set;
Materialanforderungen drucken;Print material requisitions;
Anz. sichtbarer Zeilen;Display visible lines;
Dokumente des AG;AG document;
Anforderung anlegen;Create request;
Direktsuche;Direct search;
"Gesichert";saved;
Materialanforderung auf ZL Drucken;Print material requisition at central stock location.;
Materialabrechnung;Material settlement;
Bestelldatum;Order date;
Materialaufmass anzeigen;Display material measurement;
Ausschreibungen bearbeiten;Process bid invitation;
Absagegrund;Reason for rejection;
Folgende Auswertungen sind möglich:;Following evaluations are possible:;
Zurück zur Übersicht;Back to overview;
Positionskurztext;;
Sachb. extern;External administrator;
WEMPF;Goods recipient;
Beim Herunterladen des Dokumentes ist ein Fehler aufgetreten.\r\nFehlerdetails: {0};An error has occurred while downloading the document. \r\nError details: {0};
freigegeben;Released;
Lagerortbez.;Description, stock location;
Materialaufmaß zur Bestellung Übersicht;Overview of material measurement for order;
Wert / ME;Value / quantity unit;
Ergebnis Materialanforderung auf Dienstleisterlagerort;Result, material requisition to service provider stock locations;
Chargenpflicht eines Materials;Batch management requirement of a material;
Start;Start;
Anz. neuer DL-Positionen;Number of new service provider items;
Lösche Leistung;Delete service;
Material;Material;
Bereitstellung für DL-LO;Provide for the service provider stock location;
Bestellungen suchen;Search orders;
Ergebnis Bestellsuche 1;Result, order search;
Planleistungen;Planned services;
Datum 2 (Datum zur freien Verwendung);Date 2 (date for free use);
Aufmaß erfassen;Enter measurement;
Technisches Regelwerk;Technical regulations;
Basistermin;Base date;
Positionsnummer;Item number;
Endaufmaß;Set final measurement;
Lagerortauswahl Materialrücklieferung;Return delivery material stock location selection;
Name 2;Name 2;
Name 1;Name 1;
Abnahme;Acceptance;
"Rücklieferung";Return delivery;
ges. Menge;Total quantity;
icon;Icon;
Materialanforderung auf DL-LO suchen;Search for material requisition at service provider stock location;
Bestellbezogene Materialanforderungen vornehmen;Make order-related material requisitions;
Dokumente zum LA;Documents to service measurement;
Pos.;Item;
Ergebnis Bestellsuche;Result, order search;
Einkaufsorganisation;Purchasing organization;
Aufmassart;Measurement type;
Lieferanten;Vendors;
Ch.pflicht;Batch management requirement;
Name der Einkäuferorganisation;Name of purchasing organization;
Eindeutige Nummer einer Firma;Unique company number;
Status;Status;
Filter für Leistungsnummer;Filter for service number;
Menge DL-LO;Provide for the service provider stock location;
Abgenommen;Approved;
abgenommen;Approved;
Lieferanschrift;Delivery address;
R/3 Logon Daten;R/3 logon data;
"Rückbuchung";Posting to a prior period;
Bezeichnung;Description;
Angebotsfrist;Deadline for submission of quotations;
Drucken;Print;
Das Freigeben eines Leistungsaufmaßes ohne Aufmaßpositionen ist nicht möglich.;The release of an service measurement without measurement items is not possible.;
Anwendungs-Ids zum Dienstleister wurden neu gelesen.;Service provider application IDs were re-read.;
Bitte wählen Sie das gewünschte ReVU aus.;Please select the desired RU.;
Materialrückgabe;Return material;
Es ist keine Bestellung zum Drucken markiert.;No order is marked for printing.;
Das Löschen der Leistungsnummer ist nicht erlaubt.;The deletion of the service number is not allowed.;
Bitte Planleistungen abrufen.;Please call off planned services;
Bedarfsnummer;Requisition number;
MusterLV;Service specifications model;
Materialendaufmaßkennzeichen gesetzt;Final material measurement flag is set;
"Abrechnung";Settlement;
Auswahl löschen;Delete selection;
Kontierungsobjekt
Datum der Bestellung;Order date;
Grafik;Graphic;
{0} ({1}, {2});{0} ({1}, {2});
R/3 Kennwort;R/3 password;
Rückbuchung;Posting to a prior period;
Leist. Ort;Service location;
Bestellung suchen;Find order;
Definiert die abweichende Lieferanschrift (auch Abladestelle);Defines the differing delivery address (including unloading point);
Leistungsaufmassnummer;Service measurement number;
Zu- / Abschlag [%];Surcharge / discount [%];
Anzahl sichtbarer Zeilen der Tabelle;Number of visible lines of the table;
Hier werden Programmmeldungen angezeigt. Klappen Sie den Bereich ggf. auf.;Program messages are displayed here. Open this area if required.;
WA-Jahr;Year of goods issue;
Mengen in der Materialanforderungspos. dürfen nur pos. sein;Quantities in the material requisition items may only be positive.;
Zuschlag oder Abschlag in Prozent;Percentage surcharge or discount;
Anwendungseinstellungen;Application settings;
abgelehnt;Rejected;
Kontr.Pos.;Contract item;
Zurück zur Materialselektion;Back to material selection;
Materialnr;Material number;
Lst.nummer;Service number;
Leist. ort;Service location;
Gültig von;Valid from;
Neue Leistung;New service;
Materialanforderung auf Dienstleisterlagerort bearbeiten;Process material requisition at the service provider stock location;
Bitte wählen Sie das Kontierungselement zu diesem Leistungsaufmaß aus.
Menge mit 3 NK-Stellen;Quantity to 3 decimal points;
Akt. TAs / max. TAs Lst.aufmaß;Nr. measurements / Max. nr. measurements;
Bestandsübersicht drucken;Print stock overview;
Einkaufsbelegart;Purchasing document type;
Belegkopftext;Document header text;
Anzahl;Number;
Sie haben Änderungen an der Materialanforderung vorgenommen. Wollen Sie diese verwerfen?;You have made changes to the material requisition. Do you want to discard them?;
Eindeutige Nummer des Dienstleisters;Unique service provider number;
Lst.-Aufmaß;Service measurement;
Abw. Lieferanschr.;Differing delivery address;
Aufmaß Detail;Detailed measurement;
Verfallsdatum;Expiration date;
Selektionssuche;Selection search;
Aufgaben ({0});Tasks ({0});
Ende;;
Datum 2;Date 2;
Materialanforderung auf Dienstleisterlagerort;Material requisition at service provider stock location;
Interner Fehler: Die Methode {0} ist nicht vorhanden. Bitte verständigen Sie den Systemadministrator;Internal error: The method  {0} is not available. Please notify the key user;
ges. Bestellwert;Total order value;
Definiert den externen Sachbearbeiter des Leistungsaufmasses;Defines the external administrator for service measurement;
Wunschtermin;Desired date;
Bitte geben Sie einen Kurztext ein;Please enter a short text;
BestellWert;Order value;
Aufmaßerfassung;Measurement maintenance;
zum Dokument;To the document;
Guten Tag,;Welcome;
Pos. Kurztext;Item short text;
Sie haben Änderungen am Summen-LV vorgenommen. Wollen sie diese wirklich verwerfen?;You have made changes to the service specification summary. Do you want to discard them?;
Es existieren noch gesicherte Aufmaße innerhalb der ausgewählten Bestellpositionen. Wollen Sie wirklich für alle Bestellpositionen das Endaufmaßkennzeichen setzen?;Saved measurements still exist in the selected order items. Do you really want to set the end measurement indicator for all order items?;
Aufmasserfassung;Measurement entry;
Kommunikation Bestellwesen;Ordering system communication;
Zentrallagerort;Central stock location;
Anwendungskomponente ist nicht freigegeben;Application component not released;
mittel;Funds;
Materialanforderungsdetails;Material requisition details;
Bestellungen ohne Kontraktbezug;Orders without contract reference;
ext. Bearbeiter;External administrator;
Bitte wählen Sie einen Bereitstellungs-DL-LO aus;Please select an allocation service provider stock location;
Gesichert;Saved;
WA-Menge;Quantity of goods issued;
LA-Status;Service measurement status;
Haupt-Menu;Main menu;
Summen LV;Service specification summary;
Gesamtwert;Total value;
Bitte wählen Sie einen Lagerort aus;Please select a stock location;
