Aufmaßnr.;N° de fourniture
Priorität;Priorité
Materialselektion;Sélection d'article
angenommen;accepté
Submissionsnummer;Numéro de soumission
Name einer Einkäufergruppe;Nom d'un groupe d'acheteurs
v;v
Art;Type
Sind Sie sicher, dass Sie ein Nullblatt erzeugen wollen? \r\nDanach kann kein weiteres Leistungsaufmaß für diese Bestellposition mehr angelegt werden.;Êtes-vous certain de vouloir créer une feuille blanche ? \r\nIl ne sera ensuite plus possible d'ajouter une autre fourniture de services à cette rubrique de commande.
ServiceLine: 0800 - 10 333 01;Aide en ligne : 0800 - 10 333 01
Zum Beleg;Vers le document
Sie haben keine Berechtigung auf die Anwendung zuzugreifen. Bitte verständigen Sie Ihren Administrator;Vous n'êtes pas autorisé à utiliser l'application. Veuillez contacter votre Administrateur
Mitteilungen ({0});Messages ({0})
Aufmassnr.;N° de fourniture
LA-Beleg;Document de fourniture de services
Ausschreibungen;Soumissions
Tel. Nr.;N° tél.
Position einer Beauftragung (Bestellung);Article d'une cession (commande)
Best.Nr.;N° cde
EON Rot;EON Rouge
Dokument herunterladen;Télécharger un document
Abgeruf. Menge;Qté invoquée
Name der Einkäufergruppe;Nom du groupe d'acheteurs
MA-Status;Statut de fourniture d'article
Ausschreibung Bearbeiten;Traiter une soumission
Reserviert;Réservé
Abnahmedatum;Date d'acceptation
Ablehnung;Refus
Übersicht;Aperçu
Materialnummer;Numéro d'article
Datum;Date
Anlieferungsadresse;Adresse de livraison
Bestellungen drucken;Imprimer les commandes
ServiceLine der E.ON IS;Aide en ligne d'E.ON IS
Sammelauswahl;Sélection groupée
Dateiname;Nom de fichier
Preise immer mit 2 NK-Stellen anzeigen;Toujours afficher les prix avec 2 décimales
Lieferantendetails;Détails des fournisseurs
Kurztext in der Materialanforderung auf DLLO;Texte abrégé dans la demande d'article à l'emplacement du dépôt du fournisseur de services
Telefax;Télécopie
Zur Aufmaßerfassung;Vers la création de fourniture
vorläufige Menge;Quantité provisoire
Ausschreibungen anzeigen;Afficher les soumissions
Neue Suche;Nouvelle recherche
(gesperrt);(sauvegardé)
Materialanforderungsnr.;N° de demande d'article
E.ON @ future;E.ON @ future
Nehmen Sie hier Einstellungen vor, die für die gesamte Anwendung gültig sind.;Utilisez ici les paramètres qui sont valables pour l'ensemble de l'application.
Zum Aktionsportal;Vers le portail de l'action
Mat.-Aufmaß Kurztext;Texte abrégé de fourniture art. 
Aufmaßart;Type de fourniture
Ausschreibung anzeigen;Afficher une soumission
Zur Materialanforderung auf DL LO;Vers la demande d'article sur l'emplacement du dépôt du fournisseur de services
Lieferantennummer;Numéro de fournisseur
Anforderungsübersicht;Aperçu de demande
Mengeneinheit;Unité de mesure de quantité
Anforderung;Demande
Leistungsnummer;Numéro de fourniture 
Lagerortauswahl Materialanforderung;Sélection de dépôt de demande d'article
beschreibender Text der hochzuladenden Datei;Texte descriptif du fichier en cours de téléchargement
Gesamtmenge;Quantité globale
Materialaufmaß mit Pl;Fourniture d'article avec PI 
Posnr;N° de poste
Es erfolgt die Anzeige von durch den DL abgelehnten bzw. bestätigten Bestellungen;Vient ensuite l'affichage des commandes refusées ou confirmées via le fournisseur de services
Bestellannahme;Prise de commande
Für die Bestellposition ({0}, {1}) sind keine Planleistungen vorhanden.;Aucune fourniture n'est prévue pour les postes de commande ({0}, {1}).
Angebotsnummer;Numéro d'offre
Straße;Rue
Angebot;Offre
Benutzer;Utilisateur
verf. Menge;Quantité disponible
Aufmaßdetails;Détails de la fourniture
Einkaufsgruppe;Groupe d'achat
gesicherte Menge;Quantité assurée
Eindeutige ID einer Firma des Gesellschaftsmodells;ID unique d'une société du modèle de société
Dokumente des Auftraggebers;Documents du donneur d'ordres
Haupt-Menü;Menu principal
in Abnahme;en diminution
Berichtswesen;Reporting
Status existiert nicht für die Materialrückbuchung;Ce statut n'existe pas pour la reprise d'article
Bestellungsansicht;Aperçu de commande
Definiert einen kurzen, beschreibenden Text des Leistungsaufmasses;Comporte un texte descriptif abrégé de la fourniture de services
Zeitraum;Durée
Kurztext;Texte abrégé
Erneutes Lesen der Komponentensteuerung aus dem Backend-System.;Nouvelle lecture du contrôle de composants du système Backend.
Belegnummer;Numéro de document
Beim Anlegen neuer Leistungsaufmaßpositionen ist ein Fehler aufgetreten.\r\nBitte informieren Sie den Administrator;Une erreur s'est produite lors de l'ajout d'une nouvelle fourniture de services\r\nVeuillez en informer l'administrateur
ausführlicher Text;Texte complet
Ausschreibung Downloaden;Télécharger la soumission
Anzahl neuer Positionen in Leistungs- und Materialaufmass;Nombre de nouveaux postes dans la fourniture de services et d'article s
Priorität einer Mitteilung;Priorité d'un message
Ch. pflicht;Devoir ch. 
Inhalt;Contenu
Materialanforderungen suchen;Chercher les demandes d'articles
Einstellungen;Paramètres
BestellMenge;Quantité de commande
Bestandsübersicht Suchen;Rechercher un aperçu de stock
Position;Poste
Materialanforderung suchen;Rechercher une demande d'article
PLZ;Code postal
Abgeschlossen;Achevé
Stammdaten DL;Données de base du fournisseur de services
Icon;Icône
Andere Bestellung auswählen;Sélectionner une autre commande
Bitte geben Sie eine Leistungsaufmaßnummer ein.;Veuillez saisir un numéro de fourniture de services.
Weitere Positionen;Autres postes
Löschkz.;Indicateur suppr.
WA-Belegnr.;N° de doc de fourniture du matériel
Aufmaß Details;Détails de fourniture
Tech. Verantwortlicher;Resp.  technique 
Firmendaten neu laden;Charger à nouveau les données de l'entreprise
MA-Nr.;N° d'article
Auftrag bestätigen;Confirmer le contrat
Freigegeben;Validé
Abrufe gegen Kontrakte;Appels sur contrats
Bestellungen anzeigen;Afficher les commandes
Leistungsaufmaß Nr.;N° de fourniture de services 
DL-LO Bez.;Description Dépôt du fournisseur de services
ME;Unité de quantité
(Dieser Dialog musste aus technischen Gründen angezeigt werden.);(Ce dialogue a dû être affiché pour des raisons techniques.)
Protokollerfassung zum PM-Auftrag;Création de protocole vers commande PM
Allgemeine Daten;Données générales
Anwendungskomponente ist nicht freigegeben.;Les composants d'utilisation ne sont pas validés.
Neues Aufmass anlegen;Ajouter une autre fourniture
-->;-->
Suche starten;Lancer une recherche
gesichert;garanti
Aufmaß Nr.;N° de fourniture
Ausschreibungsübersicht;Aperçu de soumission
Mg.Einh.;Unité de quantité
Charge;Charge
E-Mail;E-mail
Nr. Gutschrift;N° de crédit
Zum Berichtswesen;Vers le reporting
Nr. Extern;N° externe
Gesamtaufmaß;fourniture globale 
Preis;Prix
Offene Lieferungen drucken;Imprimer les livraisons en attente
Freigabedatum;Date de validation
Abrufe;Appels
Falls Sie Probleme mit der Anwendung haben, setzen Sie sich bitte mit unserer ServiceLine in Verbindung.;En cas de problèmes d'utilisation, veuillez contacter notre aide en ligne.
Aktionsportal;Portail d'action
Interner Fehler: Plug {0} nicht gefunden.;Erreur interne : Plug {0} non trouvé.
LA-Wert;Valeur de fourniture de services
"Sie haben über den URL Parameter ""authtoken"" eingestellt, dass Sie die R3-Zugangsdaten explizit definieren möchten. Dieser Dialog gibt Ihnen hierzu Gelegenheit";"Vous avez indiqué sur le paramètre URL ""authtoken"", que vous souhaitez définir les données d'accès à R3 de façon explicite. Ce dialogue vous permet de le faire"
Materialanforderungen anzeigen;Afficher les demandes d'articles
gültig bis;valable jusqu'au
Ausschreibung;Soumission
Auftragsbestätigungen anzeigen;Afficher les confirmations de commandes
Bitte wählen Sie Werk und Lagerort für die Materialanforderung aus;Veuillez sélectionner l'usine et le dépôt de la demande d'article
Details anzeigen;Afficher les détails
Auftragsbestätigungen suchen;Chercher les confirmations de commande
Werk- und Lagerortauswahl;Sélection d'usine et de dépôt
Bei der Ermittlung der Gesellschaftsdaten ist ein Fehler aufgetreten. Der Dienstleister Kurztext kann nicht angezeigt werden.;Une erreur s'est produite lors de la communication des données de l'entreprise. Impossible d'afficher le texte abrégé du fournisseur de services.
Kommunikationsplattform;Plate-forme de communication
Absagen;Refuser
Kontrakt / Muster-LV;Contrat/Modèle de spécification de service
Einkäufergr.;Gpe acheteurs
Aufgrund eines Timeout Problems wurde eine neue Session Bean erzeugt und anschließend versucht die Operation erneut auszuführen. Es wurde jedoch keine auszuführende Methode definiert.;En raison d'un problème de timeout, le système a créé une nouvelle Session Bean puis a de nouveau tenté d'effectuer l'opération. Aucune méthode particulière n'a cependant été définie.
Leistungsaufmassdetails anzeigen;Afficher les détails de fourniture de services 
Einkäufer;Acheteur
Menge zentr. LO;Qté dépôt central
Werksnummer;Numéro d'usine
Bestellung;Commande
Erfa. Datum;Date  créat. 
Preis je ME;Prix par unité de quantité
Nummer;Numéro
Werke / Lagerorte;Usines/Dépôts
Aufmaß Direkterfassung;Création directe de fourniture 
Frei verwendbarer Bestand;Stock en accès libre
Abn. Datum;Date  acc. 
Ok;Ok
Anforderung pflegen;Traiter la demande
Reservierungendetails;Détails de réservation
Übersicht Auftragsbestätigung;Aperçu confirmation de commande
Weiter;Suite
Mat.-Rückgabe;Retour art.
Nein;Non
Der Status existiert in der Materialrücklieferung nicht;Ce statut n'existe pas dans le retour d'article
Werknr.;N° d'usine
Anfrageart;Type de question
Anfragenummer;Numéro de question
Alle Bestellungen für den Druck aktivieren;Activer toutes les commandes en vue de leur impression
Positionsdetails;Détails du poste
Bestellnummer;Numéro de commande
Nr. eines Leistungsaufmasses;N° d'une fourniture de service  
Liest die aktuellen Daten neu ein und aktualisiert daraufhin die Anzeige;Relit les données actuelles et met ensuite à jour l'affichage
Bu.dat Gutschrift;Crédit Bu.dat 
Allgemeiner Mengentyp;Type de quantité général
Submission;Soumission
Firma: {0}, EKOrg: {1}, Dienstleister: {2}, SID: {3}, Mandant: {4};Enterprise : {0}, Organisation d'achat : {1}, Fournisseur : {2}, SID: {3}, Mandataire : {4}
Gültig bis;Valable jusqu'au
Andere Materialanforderung auswählen;Sélectionner une autre demande d'article
Suchen;Rechercher
Leistungsaufmaßnummer suchen;Rechercher un numéro de fourniture de services 
Erfassungsblatt;Feuille de création
Belegdatum;Date du document
Beschreibung;Description
Mat.-Endaufmaß;Fourniture finale art. 
Bitte wählen Sie einen Zentrallagerort aus;Veuillez sélectionner un dépôt central
Die ID des angemeldeten Benutzers konnte nicht ermittelt werden.;L'ID de l'utilisateur indiqué n'a pas pu être communiqué.
Beim Versuch die Methode {0} aus dem Hauptmenü aufzurufen, ist ein Fehler aufgetreten. Sollte der Fehler wiederholt auftreten, verständigen Sie bitte den Support.;Une erreur s'est produite lors d'une tentative pour invoquer la méthode {0} à partir du menu principal. Si l'erreur se reproduit, veuillez consulter l'assistance.
Angebot bearbeiten;Traiter l'offre
Reservierung;Réservation
Bitte liefern Sie an folgende Adresse;Veuillez livrer à l'adresse suivante
akt. Anz. / max. Anz. Rücklieferungen;qté act. / qté maxi retours
Bitte wählen Sie zunächst ein Dokument aus.;Veuillez ensuite sélectionner un document.
Lagerort;Dépôt
Menge der Materialanforderungsposition;Quantité du poste de la demande d'article
Abgebot;Procédure d'évaluation
Standard;Standard
Abladestelle oder abweichende Lieferanschrift;Emplacement de déchargement ou autre adresse de livraison
Zur Bestellannahme;Vers la prise de commande
Materialrücklieferung;Retour d'article
Buchungsdatum Gutschr.;Date d'enreg. crédit
Einkaufsbeleg;Document d'achat
Bitte geben Sie zunächst alle Leistungsaufmaße frei, bevor Sie einen neuen Beleg anlegen.;Veuillez valider toutes les fournitures de services, avant d'ajouter un nouveau document. 
Warenempfänger;Destinataire des marchandises
verfügbare Menge;Quantité disponible
Wählen Sie einen Absagegrund aus;Veuillez sélectionner un motif de refus
40 Zeichen Langtext;Texte complet de 40 caractères
Neuen Beleg anlegen;Ajouter un document
Beauftragungsübersicht aus dem Extranet Dienstleister;Aperçu de mise en service en provenance de l'extranet du fournisseur
Sammelauswahl Materialien;Sélection groupée d'articles
Lieferdatum;Date de livraison
Zur Ausschreibungsplattform;Vers la plate-forme de soumission
Materialendaufmaßkennzeichen setzen;Définir les caractéristiques des fournitures d'articles 
Währung;Devise
EK-Org.;Organisation d'achat
abgesagt;refusé
Reservierungsdetails;Détails de réservation
Reservierungsnummer;Numéro de réservation
Bedarfstermin;Date de livraison souhaitée
Betreff;Objet
Eindeutige ID eines Service Providers (Dienstleisters);ID unique d'un fournisseur de services
Alle markieren;Marquer tout
Sie haben Änderungen an der Ausschreibung vorgenommen. Wollen Sie diese verwerfen?;Vous avez introduit des modifications à la soumission. Souhaitez-vous les annuler ?
Ja;Oui
EK-Gruppe;Groupe d'achat
KA1;Commande client 1
Anz. sichtb. Zeilen;Affich. les lignes visibles
KA2;Commande client 2
Positionen;Postes
Firmennr.;N° entr.
Absprünge;Branches
Anforderer;Demandeur
Freigeben;Valider
Dateibeschreibung;Description de fichier
Bestellnr.;N° cde
Materialkatalog;Catalogue d'articles
PDF;PDF
Meldung;Message
Auswahl Dienstleisterlagerort für Materialrückbuchung;Sélection du dépôt de fournisseur de services pour reprise d'articles
Offene Lieferungen suchen;Rechercher les livraisons en attente
Warenausgangdetails;Détails de sortie de marchandises
Materialanforderung auf DLLO Drucken;Imprimer une demande d'article sur emplacement du dépôt fournisseur
externer Sachbearbeiter;Technicien externe
Abweichende Lieferanschrift;Autre adresse de livraison
Bestätigung sichern;Garantir la confirmation
offen;en attente
Reservierungsnr.;N° de réservation
Einkausorganisation;Organisation d'achat
Texte des AG;Textes de l'AG
Wollen sie die Ausschreibung wirklich absagen?;Souhaitez-vous vraiment refuser la soumission ?
Die aktuelle Leistungsposition ist leer. Bitte geben sie eine Leistungsnummer und Menge ein.;Le poste de fourniture actuel est vide. Veuillez indiquer un numéro de fourniture et une quantité.
LE;Entrée de service
Bestellwert;Valeur de commande
Bearbeitungsstatus;Statut de traitement
Gesamtnettowert;Valeur nette globale
Telefon 1;Tél. 1
Fehler bei der Zuordnung von Werk und Lagerort. Sind Werke und Lagerorte für den Dienstleister definiert?;Erreur dans l'attribution de l'usine et du dépôt. Les usines et les dépôts de ce fournisseur de services sont-ils définis ?
Offen;En attente
Mehrfachselektion von Materialien;Sélection multiple d'articles
Gesamtbestellwert;Valeur de commande globale
Aufmasse;fournitures
Pos. Nr.;N° de poste
Leistungsaufmaß;Fourniture de services
Gepl. Menge;Qté  prévue 
Währ.;Devise
Gesamtwert (Netto);Valeur globale (nette)
Nr. Freistellungsbescheinigung;N° de certificat d'exemption
Whrg;Devise
Leistungsaufmaße;Fournitures de service 
Abbrechen;Interrompre
Bestellposition;Poste de commande
Materialaufmaß zur Bestellung Suchen;Rechercher la fourniture d'article à commander 
Herunterladen;Télécharger
Es muss mindestens eine Bestellung ausgewählt werden.;Veuillez sélectionner au moins une commande.
Anz. neuer Positionen;Nbre de nouveaux postes
Mat.-nr;N° art.
Stand Materiallieferung anzeigen;Afficher l'état de livraison des articles
Chargennummer;Numéro de charge
Liste offener Lieferungen anzeigen;Afficher la liste des livraisons en attente
bestellt;commandé
Materialaufmaß zur Bestellung drucken;Imprimer la fourniture d'articles à commander
Externe Bearbeitungsnummer des Leistungsaufmasses;Numéro de traitement externe de la fourniture de services 
Materialanforderung auf DL-LO;Demande d'article au dépôt fournisseur
Buchungsdatum;Date d'enregistrement
Wert LE-Blatt;Feuille d'entrée de la valeur du service
Nachricht;Rapport
Bestellmenge;Quantité commandée
Gülitg bis;Valable jusqu'au
Suche;Recherche
Angebotsart;Début de l'offre
Das PDF-Dokument kann nicht angezeigt werden.;Le document PDF ne peut pas être affiché.
Die Bestellnr. {0} wurde nicht gefunden.;Le n° de commande {0} n'a pas été trouvé.
Fehler beim Aufruf der Methode {0} des Component Controllers. Details: {1}. Weitere Details entnehmen Sie den Logdateien.;Erreur lors de l'invocation de la méthode {0} du Component Controller. Détails : {1}. Vous trouverez plus de détails dans les fichiers-journaux.
Nullblatt;Feuille vierge
Wert pro Mengeneinheit;Valeur par unité de mesure de quantité
Offene Lieferungen;Livraisons en attente
Materialabrechnung drucken;Imprimer la comptabilité article
Bew. erlaubt;Doc. autorisé
Benutzerkennung;ID utilisateur
E.ON @ Future Beschaffungsprozess Netzbauleistung Extranet Dienstleister;E.ON @ Futur processus d'approvisionnement construction de réseau Extranet pour fournisseur de services
Rücklieferung;Retour
Herrunterladen;Télécharger
Für das chargenpflichtige Material {0} wurde keine Charge definiert.;Aucune charge n'a été définie pour l'article soumis à charge {0}.
"Status ""abgeschlossen""";"Statut ""achevé"""
Materialaufmaß zur Bestellung anzeigen;Afficher la fourniture d'articles à commander 
akt. Anz. / max. Anz. Rückbuchungen;qté act. / qté maxi reprises
Es gibt keine ausgewählte aktuelle Materialanforderung, deren Daten gelesen werden könnten.;Impossible de lire les données des demandes d'articles actuellement sélectionnées.
Bitte geben Sie eine Reservierungsnummer ein.;Veuillez saisir un numéro de réservation.
Meldungen;Messages
Es erfolgt die Anzeige von durch den DL angenommenen bzw. abgelehnten Anfragen;Vient ensuite l'affichage des questions acceptées ou refusées via le fournisseur de services
hoch;élevé
Charge in Abrechnung oder Anforderung verwendet;La charge devient une facture ou demande
Materialanforderungsübersicht;Aperçu des demandes de fournitures
Bitte klicken Sie auf folgenden Link, um die Datei auf Ihren Computer herunterzuladen;Veuillez cliquer sur le lien suivant afin de télécharger le fichier sur votre ordinateur
Der Status existiert in der Materialabrechnung nicht;Ce statut n'existe pas dans la comptabilité articles
Unternehmen;Entreprise
Anlieferadresse;Adresse de livraison
Sie haben die Möglichkeit für die unten aufgeführten Regionalen Versorgungsunternehmen (ReVU) Daten zu erfassen.;Vous avez la possibilité de saisir des données pour les entreprises d'approvisionnement régionales (EAR) indiquées ci-dessous.
(gelöscht);(supprimé)
Anfragetyp;Type de question
Liste der Ausschreibungen;Liste des soumissions
Werksbez.;Descr. usine
Hochladen;Télécharger
Bestellung bearbeiten;Traiter une commande
Anrede;Titre
Leistungsort;Lieu de fourniture
Eindeutige Nr. einer Bestellung;N° unique d'une commande
Suche Materialaufmaß zur Bestellung;Recherche de fourniture d'articles à commander 
Mehrfachselektion von Leistungen;Sélection multiple de fournitures
Leistungsaufmassnr.;N° de fourniture services
Wert Gutschr.;Valeur de crédit
Lagerorttext;Texte dépôt
Anzeige von Leistungsaufmaßen und Gutschriften zu Bestellungen, welche selektiert werden können;Affichage de fournitures de services et crédits des commandes qui ont pu être sélectionnées.
Benutzername;Nom de l'utilisateur
Dokumentenstruktur des R/3 DMS;Structure des documents du système R/3 DMS
Komponentensteuerung lesen;Lecture de contrôle de composants
Materialrückgaben;Retours d'articles
Beenden;Terminer
Aufmaß Status;Statut de la fourniture
Aufmass Kennzeichen;Signaler la fourniture
MEAKZ setzen;Fixer les indicateurs de fin de fourniture de l'article 
Neue Position;Nouveau poste
erledigt;effectué
Muster-LV;Modèle de spécification de service
Reservierungsdaten bearbeiten / anzeigen;Traiter/afficher les dates de réservation
LE-Blatt;Feuille d'entrée de service
Belegart;Type de document
Leistungsaufmaß kann nicht gelesen werden. Die Pos. enthält keine Leistungsaufmaße.;Impossible de lire la fourniture de services. Le poste ne comporte pas de fourniture de services.
Anfrage;Question
Planleistungen abrufen;Invoquer les fournitures planifiées
Erfassung;Saisie
Einkäuferorganisation;Organisation d'acheteurs
Mat.-bezeichnung;Description art.
Wollen Sie alle noch offenen Planleistungen jetzt tatsächlich abrufen?;Souhaitez-vous vraiment invoquer maintenant toutes les fournitures prévues encore en attente ?
Vorname;Prénom
gering;faible
Nachname;Nom
Menge am Dienstleister Lagerort;Quantité au dépôt central du fournisseur
Bestellung Suchen;Rechercher une commande
Die Angebotsnr. {0} wurde nicht gefunden.;Le n° d'offre {0} n'a pas été trouvé.
Basisdatum;Date de base
Zum Dokument;Vers le document
Bestelllnummer;Numéro de commande
Materialendaufmaßkennzeichen ist gesetzt;La fourniture d'article est cochée 
Materialanforderungen drucken;Imprimer les demandes d'articles
Anz. sichtbarer Zeilen;Affich. les lignes visibles
Dokumente des AG;Document de l'AG
Anforderung anlegen;Ajouter une demande
Direktsuche;Recherche directe
Gesichert;Garanti
Materialanforderung auf ZL Drucken;Imprimer une demande d'article au dépôt central
Materialabrechnung;Comptabilité article
Bestelldatum;Date de commande
Materialaufmass anzeigen;Afficher les fournitures d'articles 
Ausschreibungen bearbeiten;Traiter les soumissions
Absagegrund;Motif de refus
Folgende Auswertungen sind möglich:;Les valeurs suivantes sont possibles :
Zurück zur Übersicht;Retour à l'aperçu
Positionskurztext;Texte abrégé du poste
Sachb. extern;Techn. ext.
WEMPF;Destinataire des marchandises
Beim Herunterladen des Dokumentes ist ein Fehler aufgetreten.\r\nFehlerdetails: {0};Une erreur s'est produite lors du téléchargement du document.\r\nDétails de l'erreur : {0}
freigegeben;valider
Lagerortbez.;Descr. du dépôt
Materialaufmaß zur Bestellung Übersicht;Aperçu de fourniture d'articles à commander
Wert / ME;Valeur/Unité de quantité
Ergebnis Materialanforderung auf Dienstleisterlagerort;Résultat de demande d'article sur dépôt de fournisseur de services
Chargenpflicht eines Materials;Charges d'un article
Start;Démarrage
Anz. neuer DL-Positionen;Affich. nouveaux postes fournisseur de services
Lösche Leistung;Effacer une fourniture
Material;Article
Bereitstellung für DL-LO;Préparation pour emplacement de dépôt de fournisseur de services
Bestellungen suchen;Rechercher des commandes
Planleistungen;Fournitures planifiées
Datum 2 (Datum zur freien Verwendung);Date 2 (date d'accès libre)
Aufmaß erfassen;Saisir une fourniture
Technisches Regelwerk;Réglementation technique
Basistermin;Date de base
Positionsnummer;Numéro de poste
Endaufmaß;Fourniture finale 
Lagerortauswahl Materialrücklieferung;Sélection de dépôt de reprise d'article
Name 2;Nom 2
Name 1;Nom 1
Abnahme;Diminution
Rücklieferung;Retour
ges. Menge;Qté gar.
icon;icône
Materialanforderung auf DL-LO suchen;Rechercher une demande d'article sur l'emplacement du dépôt de fournisseur de services
Bestellbezogene Materialanforderungen vornehmen;Sélectionner des demandes d'articles liées à la commande
Dokumente zum LA;Documents pour la fourniture de services
Pos.;Pos.
Ergebnis Bestellsuche;Résultat de recherche de commande
Einkaufsorganisation;Organisation achat
Aufmassart;Type de fourniture
Lieferanten;Fournisseurs
Ch.pflicht;Devoir de gestion de charge
Name der Einkäuferorganisation;Nom de l'organisation d'achat
Eindeutige Nummer einer Firma;Numéro unique d'une entreprise
Status;Statut
Filter für Leistungsnummer;Filtre pour numéro de fourniture
Menge DL-LO;Quantité dépôt fournisseur de services
Abgenommen;Diminué
abgenommen;diminué
Lieferanschrift;Adresse de livraison
R/3 Logon Daten;Données de connexion à R/3
Rückbuchung;Reprise
Bezeichnung;Description
Angebotsfrist;Durée de l'offre
Drucken;Imprimer
Das Freigeben eines Leistungsaufmaßes ohne Aufmaßpositionen ist nicht möglich.;La validation d'une fourniture de service sans poste de fourniture n'est pas possible.
Anwendungs-Ids zum Dienstleister wurden neu gelesen.;Les ID d'utilisation du fournisseur de services ont été relues.
Bitte wählen Sie das gewünschte ReVU aus.;Veuillez sélectionner l'EAR souhaitée.
Materialrückgabe;Retour d'article
Das Löschen der Leistungsnummer ist nicht erlaubt.;La suppression du numéro de fourniture n'est pas permise.
Es ist keine Bestellung zum Drucken markiert.;Aucune commande n'est signalée pour l'impression.
Bitte Planleistungen abrufen.;Veuillez invoquer les fournitures planifiées.
Bedarfsnummer;Numéro de besoin
MusterLV;Modèle de spécification du service
Materialendaufmaßkennzeichen gesetzt;Fournitures d'articles cochées 
Abrechnung;Comptabilité
Auswahl löschen;Supprimer la sélection
Datum der Bestellung;Date de la commande
Grafik;Graphique
{0} ({1}, {2});{0} ({1}, {2})
R/3 Kennwort;Mot de passe R/3
Rückbuchung;Reprise
Leist. Ort;Lieu de prest. 
Bestellung suchen;Rechercher une commande
Definiert die abweichende Lieferanschrift (auch Abladestelle);Définit l'autre adresse de livraison (ainsi que le lieu de déchargement)
Leistungsaufmassnummer;Numéro de fourniture de service
Zu- / Abschlag [%];[%] augmentation/diminution
Anzahl sichtbarer Zeilen der Tabelle;Nombre de lignes visibles du tableau
